2026-07-22 00:13:26,872 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:26,874 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:13:30,081 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:30,083 | INFO | scan_engine | ============================================================
2026-07-22 00:13:30,083 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:30,084 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:30,084 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:30,106 | INFO | file_service | Files discovered: 30
2026-07-22 00:13:30,106 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:30,169 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:13:30,169 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:30,171 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:14:54,139 | INFO | logging_service | ============================================================
2026-07-22 00:14:54,374 | INFO | logging_service | Application Started
2026-07-22 00:15:04,926 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:15:04,928 | INFO | scan_engine | ============================================================
2026-07-22 00:15:04,928 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:15:04,929 | INFO | scan_engine | Validation completed.
2026-07-22 00:15:04,929 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:15:04,967 | INFO | file_service | Files discovered: 30
2026-07-22 00:15:04,967 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:15:05,043 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:15:05,043 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:15:05,045 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:24:09,144 | INFO | logging_service | ============================================================
2026-07-22 00:24:09,146 | INFO | logging_service | Application Started
2026-07-22 00:24:25,559 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:24:25,561 | INFO | scan_engine | ============================================================
2026-07-22 00:24:25,561 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:24:25,562 | INFO | scan_engine | Validation completed.
2026-07-22 00:24:25,562 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:24:25,599 | INFO | file_service | Files discovered: 30
2026-07-22 00:24:25,600 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:24:25,672 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:24:25,672 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:24:25,675 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:24:38,385 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:24:38,387 | INFO | scan_engine | ============================================================
2026-07-22 00:24:38,387 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:24:38,387 | INFO | scan_engine | Validation completed.
2026-07-22 00:24:38,388 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:24:38,408 | INFO | file_service | Files discovered: 30
2026-07-22 00:24:38,408 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:24:38,408 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:24:38,408 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:24:38,410 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:24:39,425 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:24:39,426 | INFO | scan_engine | ============================================================
2026-07-22 00:24:39,426 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:24:39,427 | INFO | scan_engine | Validation completed.
2026-07-22 00:24:39,427 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:24:39,448 | INFO | file_service | Files discovered: 30
2026-07-22 00:24:39,448 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:24:39,448 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:24:39,448 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:24:39,450 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:24:39,650 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:24:39,651 | INFO | scan_engine | ============================================================
2026-07-22 00:24:39,651 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:24:39,652 | INFO | scan_engine | Validation completed.
2026-07-22 00:24:39,652 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:24:39,673 | INFO | file_service | Files discovered: 30
2026-07-22 00:24:39,673 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:24:39,673 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:24:39,673 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:24:39,675 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:24:39,868 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:24:39,870 | INFO | scan_engine | ============================================================
2026-07-22 00:24:39,870 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:24:39,871 | INFO | scan_engine | Validation completed.
2026-07-22 00:24:39,871 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:24:39,891 | INFO | file_service | Files discovered: 30
2026-07-22 00:24:39,891 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:24:39,892 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:24:39,892 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:24:39,893 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:33:45,190 | INFO | logging_service | ============================================================
2026-07-22 00:33:45,192 | INFO | logging_service | Application Started
2026-07-22 00:33:58,739 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:33:58,743 | INFO | scan_engine | ============================================================
2026-07-22 00:33:58,743 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:33:58,744 | INFO | scan_engine | Validation completed.
2026-07-22 00:33:58,744 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:33:58,782 | INFO | file_service | Files discovered: 30
2026-07-22 00:33:58,783 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:33:58,863 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:33:58,864 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:33:58,866 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:34:10,390 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:34:10,392 | INFO | scan_engine | ============================================================
2026-07-22 00:34:10,392 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:34:10,393 | INFO | scan_engine | Validation completed.
2026-07-22 00:34:10,393 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:34:10,414 | INFO | file_service | Files discovered: 30
2026-07-22 00:34:10,415 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:34:10,415 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:34:10,415 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:34:10,417 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:34:11,201 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:34:11,202 | INFO | scan_engine | ============================================================
2026-07-22 00:34:11,202 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:34:11,203 | INFO | scan_engine | Validation completed.
2026-07-22 00:34:11,203 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:34:11,226 | INFO | file_service | Files discovered: 30
2026-07-22 00:34:11,227 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:34:11,227 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:34:11,227 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:34:11,229 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:34:11,427 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:34:11,429 | INFO | scan_engine | ============================================================
2026-07-22 00:34:11,429 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:34:11,429 | INFO | scan_engine | Validation completed.
2026-07-22 00:34:11,430 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:34:11,455 | INFO | file_service | Files discovered: 30
2026-07-22 00:34:11,455 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:34:11,546 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:34:11,546 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:34:11,548 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:34:11,636 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:34:11,637 | INFO | scan_engine | ============================================================
2026-07-22 00:34:11,637 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:34:11,638 | INFO | scan_engine | Validation completed.
2026-07-22 00:34:11,638 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:34:11,659 | INFO | file_service | Files discovered: 30
2026-07-22 00:34:11,659 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:34:11,659 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:34:11,660 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:34:11,661 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:54:20,100 | INFO | logging_service | ============================================================
2026-07-22 00:54:20,101 | INFO | logging_service | Application Started
2026-07-22 00:54:32,662 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:54:32,663 | INFO | scan_engine | ============================================================
2026-07-22 00:54:32,663 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:54:32,664 | INFO | scan_engine | Validation completed.
2026-07-22 00:54:32,664 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:54:32,724 | INFO | file_service | Files discovered: 30
2026-07-22 00:54:32,724 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:54:32,763 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:54:32,764 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:54:32,765 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:55:08,685 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:55:08,688 | INFO | scan_engine | ============================================================
2026-07-22 00:55:08,688 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:55:08,689 | INFO | scan_engine | Validation completed.
2026-07-22 00:55:08,689 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:55:08,712 | INFO | file_service | Files discovered: 30
2026-07-22 00:55:08,712 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:55:08,712 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:55:08,712 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:55:08,714 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:55:19,948 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:55:19,950 | INFO | scan_engine | ============================================================
2026-07-22 00:55:19,950 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:55:19,951 | INFO | scan_engine | Validation completed.
2026-07-22 00:55:19,952 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:55:19,970 | INFO | file_service | Files discovered: 30
2026-07-22 00:55:19,970 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:55:19,970 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:55:19,970 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:55:19,972 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:55:59,552 | INFO | logging_service | ============================================================
2026-07-22 00:55:59,552 | INFO | logging_service | Application Started
2026-07-22 00:56:35,012 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:56:35,014 | INFO | scan_engine | ============================================================
2026-07-22 00:56:35,015 | INFO | scan_engine | Starting duplicate scan.
